address,company,detail,position
深圳,华为,全职 | 1.5-2.5万/月,资深平面设计师
武汉,华为,本科以上 | 3-5年 | 全职 | 15000-25000元,数据工程师
杭州,华为,本科以上 | 3-4年经验 | 全职 | 1-2万/月,能力咨询
杭州,华为,硕士以上 | 8-9年经验 | 全职 | 30-50万/年,战略规划经理 专家
南京,华为,1年以下 | 全职 | 15000-30000元,AI芯片工程师
上海,华为,本科以上 | 3-5年 | 全职 | 20000-40000元,高级软件工程师
杭州,华为,硕士以上 | 10年以上工作经验 | 全职 | 2-4万/月,内训产品部经理
杭州,华为,本科以上 | 5-10年 | 全职 | 40000-80000元,K8S技术专家
北京,华为,本科以上 | 全职 | 12.0-14.4万元,华为内容标注专员
上海,华为,本科以上 | 4年以上 | 全职 | 50.0-100.0万元,DevOps高级开发工程师
东莞,华为,全职 | 9.6-14.4万元,采购事务员
潍坊,华为,全职 | 7.2-9.6万元,华为财务专员
天津,华为,大专以上 | 1-3年 | 全职 | 8000-11000元,运营经理
深圳,华为,博士以上 | 全职 | 25000-50000元,数据分析高级工程师 算法高级工程师
深圳,华为,全职 | 13.2-18.0万元,华为产品运营专员
天津,天津津建保企律师事务所,大专以上 | 全职 | 2K-4K,法务专员
天津,天津津建保企律师事务所,全职 | 6K-8K,销售1
天津,天津津建保企律师事务所,全职 | 6K-8K,外勤1
天津,天津津建保企律师事务所,大专以上 | 全职 | 6K-8K,律师助理-外勤
天津,天津津建保企律师事务所,兼职 | 100元/天,兼职发单员
天津,天津津建保企律师事务所,大专以上 | 全职 | 4K-6K,法务助理
天津,天津津建保企律师事务所,大专以上 | 实习 | 2K-4K,实习律师 律师助理
天津,天津津建保企律师事务所,全职,2019招聘
杭州,融创,本科以上 | 实习 | 2.5-3.5千/月,人力资源实习生
杭州,融创,实习 | 2-3千/月,土建工程实习生
杭州,融创,本科以上 | 实习 | 2.5-3.5千/月,行政实习生
--,融创,本科以上 | 3年以上 | 全职 | 28.8-48.0万元,财务经理
济南,融创,高中以上 | 全职 | 2000-3999,渠道专员
杭州,融创,实习 | 2-3千/月,客户关系实习生
杭州,融创,实习 | 2-3千/月,成本管理实习生
杭州,融创,实习 | 2-3千/月,财务管理实习生
杭州,融创,实习 | 2-3千/月,法律事务实习生
杭州,融创,实习 | 2-3千/月,运营管理实习生
北京,融创,本科以上 | 3年以上 | 全职 | 12.0-18.0万元,销管专员主管
哈尔滨,融创,大专以上 | 2年以上 | 全职 | 6.0-12.0万元,大客户经理
北京,融创,本科以上 | 实习,人力资源实习生
北京,融创,本科以上 | 全职,招聘总监
上海,融创,3年以上 | 全职 | 13.0-19.5万元,环境经理
天津,中国建筑六局,本科以上 | 全职 | 10K-15K,体系策划与管理岗
天津,天津顶益食品,中专以上 | 全职 | 4.5-6千/月,康师傅业务代表
青岛,天津顶益食品,高中以上 | 全职 | 0.4-1万/月,康师傅业务代表 销售代表 渠道销售
北京,天津顶益食品,高中以上 | 实习 | 6-8千/月,康师傅朝阳海淀业务五险一金13薪
天津,天津顶益食品,本科以上 | 应届毕业生 | 实习 | 3-4.5千/月,制程品管实习生
呼和浩特,天津顶益食品,全职 | 3K-4.5K,康师傅销售五险一金
天津,天津顶益食品,高中以上 | 全职 | 4.5-5.5千/月,康师傅业务代表
太原,天津顶益食品,大专以上 | 全职 | 4K-6K,业务
北京,天津顶益食品,大专以上 | 应届毕业生 | 全职 | 6-8千/月,康师傅大兴区MA业代
天津,天津顶益食品,中专以上 | 全职 | 4.5-6千/月,康师傅销售代表-大港区
北京,天津顶益食品,全职 | 4.5-6千/月,康师傅昌平销售助理
北京,天津顶益食品,高中以上 | 全职 | 5-6.5千/月,康师傅顺义销售代表
北京,天津顶益食品,高中以上 | 全职 | 6-8千/月,康师傅通州销售代表-五险一金
北京,天津顶益食品,高中以上 | 全职 | 6-8千/月,康师傅方便面朝阳业务代表+五险一金13薪
北京,天津顶益食品,高中以上 | 全职 | 6-8千/月,康师傅海淀业务代表五险一金
北京,天津顶益食品,全职 | 6-8千/月,康师傅密云 平谷销售代表
天津,乐普,全职 | 3040-6800,视频审核岗
青岛,力神电池,大专以上 | 2年经验 | 全职 | 3-4.5千/月,设备技术员
天津,力神电池,本科以上 | 3-5年 | 全职 | 100000~120000,软件工程师
