
小区名称,地址,建筑年份,楼栋,单元,户室,朝向,面积
本溪楼,本溪路,1955,1,1,101,南北,40
本溪楼,本溪路,1955,1,1,102,南北,40
本溪楼,本溪路,1955,1,1,103,东西,60
本溪楼,本溪路,1955,1,1,104,东西,60
本溪楼,本溪路,1955,1,1,201,南北,40
本溪楼,本溪路,1955,1,1,202,南北,40
本溪楼,本溪路,1955,1,1,203,东西,60
本溪楼,本溪路,1955,1,1,204,东西,60
本溪楼,本溪路,1955,1,1,301,南北,40
本溪楼,本溪路,1955,1,1,302,南北,40
本溪楼,本溪路,1955,1,1,303,东西,60
本溪楼,本溪路,1955,1,1,304,东西,60
本溪楼,本溪路,1955,1,1,401,南北,40
本溪楼,本溪路,1955,1,1,402,南北,40
本溪楼,本溪路,1955,1,1,403,东西,60
本溪楼,本溪路,1955,1,1,404,东西,60
本溪楼,本溪路,1955,1,1,501,南北,40
本溪楼,本溪路,1955,1,1,502,南北,40
本溪楼,本溪路,1955,1,1,503,东西,60
本溪楼,本溪路,1955,1,1,504,东西,60
本溪楼,本溪路,1955,1,1,601,南北,40
本溪楼,本溪路,1955,1,1,602,南北,40
本溪楼,本溪路,1955,1,1,603,东西,60
本溪楼,本溪路,1955,1,1,604,东西,60
本溪楼,本溪路,1955,1,2,101,南北,70
本溪楼,本溪路,1955,1,2,102,南北,70
本溪楼,本溪路,1955,1,2,103,南北,60
本溪楼,本溪路,1955,1,2,104,南北,60
本溪楼,本溪路,1955,1,2,201,南北,70
本溪楼,本溪路,1955,1,2,202,南北,70
本溪楼,本溪路,1955,1,2,203,南北,60
本溪楼,本溪路,1955,1,2,204,南北,60
本溪楼,本溪路,1955,1,2,301,南北,70
本溪楼,本溪路,1955,1,2,302,南北,70
本溪楼,本溪路,1955,1,2,303,南北,60
本溪楼,本溪路,1955,1,2,304,南北,60
本溪楼,本溪路,1955,1,2,401,南北,70
本溪楼,本溪路,1955,1,2,402,南北,70
本溪楼,本溪路,1955,1,2,403,南北,60
本溪楼,本溪路,1955,1,2,404,南北,60
本溪楼,本溪路,1955,1,2,501,南北,70
本溪楼,本溪路,1955,1,2,502,南北,70
本溪楼,本溪路,1955,1,2,503,南北,60
本溪楼,本溪路,1955,1,2,504,南北,60
本溪楼,本溪路,1955,1,2,601,南北,70
本溪楼,本溪路,1955,1,2,602,南北,70
本溪楼,本溪路,1955,1,2,603,南北,60
本溪楼,本溪路,1955,1,2,604,南北,60
